,State,201411YTDR,2014,PerCap,1411RateYTDR,MedianIncome12-13,FracSpent
0,Connecticut,11673.0,3596677.0,3245.495772903711,19.59,66480.7006552753,0.02515218069524732
1,Maine,4212.0,1330089.0,3166.705385880193,15.28,49996.66719391238,0.025453394488389184
2,Massachusetts,18385.0,6745408.0,2725.5578906420487,17.14,63772.18872841149,0.019265959998516238
3,New Hampshire,4130.0,1326813.0,3112.721988705266,17.45,70063.00085589786,0.02038932173094607
4,Rhode Island,2808.0,1055173.0,2661.1749921576843,17.62,57345.98303313865,0.021504635428486584
5,Vermont,1912.0,626562.0,3051.573507490081,17.58,55615.76169190375,0.02536883744033054
6,New Jersey,25643.0,8938175.0,2868.9301786997903,15.82,64721.66431099709,0.018443040926685306
7,New York,45333.0,19746227.0,2295.780353380927,20.13,51108.16083463418,0.02378151980148977
8,Pennsylvania,49169.0,12787209.0,3845.1705919563838,13.38,53305.06359986367,0.025383938577448025
9,Illinois,41909.0,12880580.0,3253.6578321783645,11.42,54842.72300235441,0.017818646882677407
10,Indiana,30298.0,6596855.0,4592.794596819242,11.27,48690.81742881248,0.027958226687857454
11,Michigan,30324.0,9909877.0,3059.9774346341533,14.55,49771.14217386315,0.023526610278178223
12,Ohio,47717.0,11594163.0,4115.605412827127,12.39,45709.18892159176,0.029339808135910958
13,Wisconsin,19726.0,5757564.0,3426.101733302487,13.94,54554.295463069306,0.0230244797225387
14,Iowa,12798.0,3107126.0,4118.918898042757,11.48,54537.16481565876,0.022802807472228515
15,Kansas,12576.0,2904021.0,4330.547196456224,12.2,51107.040872759484,0.027188022427562606
16,Minnesota,20226.0,5457173.0,3706.3146064821476,12.2,61800.0043662509,0.019242848230044633
17,Missouri,32097.0,6063589.0,5293.399668084364,10.71,50399.22213923567,0.029583943986063645
18,Nebraska,8927.0,1881503.0,4744.611090176311,10.56,53364.44709513242,0.02469268249895688
19,North Dakota,4595.0,739482.0,6213.809125847552,9.39,54731.920167973076,0.02803745338337111
20,South Dakota,4253.0,853175.0,4984.909309344507,10.57,52292.70958802983,0.02650005965900836
21,Delaware,4236.0,935614.0,4527.508139040246,13.4,50951.36550034155,0.031315832317582684
22,District of Columbia,1893.0,658893.0,2873.000623773511,12.84,63434.623081931895,0.015294318457449206
23,Florida,107945.0,19893297.0,5426.199588735844,11.98,47313.02277138177,0.03613496473227824
24,Georgia,52473.0,10097343.0,5196.71363050656,11.68,48129.79511505904,0.03316754779564926
25,Maryland,24931.0,5976407.0,4171.569975070305,13.63,69070.63940009905,0.02164998804674932
26,North Carolina,52664.0,9943964.0,5296.0770976242475,11.19,41682.59397289567,0.0373925769258272
27,South Carolina,27991.0,4832482.0,5792.261616287448,12.32,44397.729593123535,0.04227210393555072
28,Virginia,41672.0,8326289.0,5004.87071731476,11.21,66595.29951798933,0.02215698420415243
29,West Virginia,10745.0,1850326.0,5807.084805596419,9.36,42213.28492603349,0.03386418410528521
30,Alabama,30137.0,4849377.0,6214.612722417745,11.57,42738.20385758527,0.044247313860420696
31,Kentucky,24728.0,4413457.0,5602.864149350497,10.08,41920.66751417164,0.03543220529461469
32,Mississippi,17541.0,2994079.0,5858.562850212035,11.37,39011.69562826758,0.044906838307031884
33,Tennessee,38931.0,6549352.0,5944.252194720943,10.35,43059.52589103042,0.037577171025031324
34,Arkansas,16868.0,2966369.0,5686.413254723198,9.53,39751.86316198105,0.035853336633380084
35,Louisiana,29007.0,4649676.0,6238.499198653842,9.52,39637.34620168547,0.039406535125092096
36,Oklahoma,21420.0,3878051.0,5523.393065227869,10.06,46443.78772736997,0.031465312411430524
37,Texas,132842.0,26956958.0,4927.92992443732,11.79,52853.99718985404,0.028910542407813877
38,Arizona,29972.0,6731484.0,4452.510026021008,12.06,49164.55627405892,0.028724722280844456
39,Colorado,16516.0,5355866.0,3083.7216614456,12.25,60728.935326041916,0.016359549544913594
40,Idaho,7299.0,1634464.0,4465.6841631262605,9.76,50192.74593608634,0.022837713201110676
41,Montana,4416.0,1023579.0,4314.273739496414,10.32,44937.68255947344,0.02605748348792643
42,Nevada,11136.0,2839099.0,3922.371146620812,12.87,46694.94070592875,0.028432375927844162
43,New Mexico,6084.0,2085572.0,2917.1853093539808,12.39,43091.00781143179,0.02205994479196134
44,Utah,8177.0,2942902.0,2778.5498803561927,10.79,61078.07485052843,0.012909518699262303
45,Wyoming,2466.0,584153.0,4221.496765402215,10.53,57023.82890632031,0.020501904469346244
46,California,81521.0,38802500.0,2100.921332388377,16.22,57688.2236592194,0.01553564264333174
47,Oregon,16767.0,3970239.0,4223.171451391214,10.49,54417.18927366745,0.021410846788696047
48,Washington,31457.0,7061530.0,4454.700326982963,8.77,61598.02927853963,0.016680421389340058
49,Alaska,1840.0,736732.0,2497.5160573994344,19.41,62854.73723903854,0.020283904531822324
50,Hawaii,2331.0,1419561.0,1642.0569457740808,37.59,59244.228763094594,0.027401241360603013
