,State,201411YTDR,2014,PerCap
0,Connecticut,11673.0,3596677.0,3245.495772903711
1,Maine,4212.0,1330089.0,3166.705385880193
2,Massachusetts,18385.0,6745408.0,2725.5578906420487
3,New Hampshire,4130.0,1326813.0,3112.721988705266
4,Rhode Island,2808.0,1055173.0,2661.1749921576843
5,Vermont,1912.0,626562.0,3051.573507490081
6,New Jersey,25643.0,8938175.0,2868.9301786997903
7,New York,45333.0,19746227.0,2295.780353380927
8,Pennsylvania,49169.0,12787209.0,3845.1705919563838
9,Illinois,41909.0,12880580.0,3253.6578321783645
10,Indiana,30298.0,6596855.0,4592.794596819242
11,Michigan,30324.0,9909877.0,3059.9774346341533
12,Ohio,47717.0,11594163.0,4115.605412827127
13,Wisconsin,19726.0,5757564.0,3426.101733302487
14,Iowa,12798.0,3107126.0,4118.918898042757
15,Kansas,12576.0,2904021.0,4330.547196456224
16,Minnesota,20226.0,5457173.0,3706.3146064821476
17,Missouri,32097.0,6063589.0,5293.399668084364
18,Nebraska,8927.0,1881503.0,4744.611090176311
19,North Dakota,4595.0,739482.0,6213.809125847552
20,South Dakota,4253.0,853175.0,4984.909309344507
21,Delaware,4236.0,935614.0,4527.508139040246
22,District of Columbia,1893.0,658893.0,2873.000623773511
23,Florida,107945.0,19893297.0,5426.199588735844
24,Georgia,52473.0,10097343.0,5196.71363050656
25,Maryland,24931.0,5976407.0,4171.569975070305
26,North Carolina,52664.0,9943964.0,5296.0770976242475
27,South Carolina,27991.0,4832482.0,5792.261616287448
28,Virginia,41672.0,8326289.0,5004.87071731476
29,West Virginia,10745.0,1850326.0,5807.084805596419
30,Alabama,30137.0,4849377.0,6214.612722417745
31,Kentucky,24728.0,4413457.0,5602.864149350497
32,Mississippi,17541.0,2994079.0,5858.562850212035
33,Tennessee,38931.0,6549352.0,5944.252194720943
34,Arkansas,16868.0,2966369.0,5686.413254723198
35,Louisiana,29007.0,4649676.0,6238.499198653842
36,Oklahoma,21420.0,3878051.0,5523.393065227869
37,Texas,132842.0,26956958.0,4927.92992443732
38,Arizona,29972.0,6731484.0,4452.510026021008
39,Colorado,16516.0,5355866.0,3083.7216614456
40,Idaho,7299.0,1634464.0,4465.6841631262605
41,Montana,4416.0,1023579.0,4314.273739496414
42,Nevada,11136.0,2839099.0,3922.371146620812
43,New Mexico,6084.0,2085572.0,2917.1853093539808
44,Utah,8177.0,2942902.0,2778.5498803561927
45,Wyoming,2466.0,584153.0,4221.496765402215
46,California,81521.0,38802500.0,2100.921332388377
47,Oregon,16767.0,3970239.0,4223.171451391214
48,Washington,31457.0,7061530.0,4454.700326982963
49,Alaska,1840.0,736732.0,2497.5160573994344
50,Hawaii,2331.0,1419561.0,1642.0569457740808
